makespan,max_load
7.370000000000000000e+02,4.600000000000000000e+02
7.970000000000000000e+02,4.050000000000000000e+02
7.700000000000000000e+02,4.390000000000000000e+02
7.300000000000000000e+02,4.690000000000000000e+02
7.420000000000000000e+02,4.560000000000000000e+02
6.780000000000000000e+02,4.950000000000000000e+02
8.560000000000000000e+02,4.040000000000000000e+02
7.000000000000000000e+02,4.830000000000000000e+02
7.720000000000000000e+02,4.370000000000000000e+02
7.780000000000000000e+02,4.260000000000000000e+02
7.490000000000000000e+02,4.410000000000000000e+02
6.750000000000000000e+02,5.010000000000000000e+02
