makespan,max_load
4.300000000000000000e+01,3.600000000000000000e+01
4.300000000000000000e+01,3.600000000000000000e+01
4.300000000000000000e+01,3.600000000000000000e+01
4.300000000000000000e+01,3.600000000000000000e+01
4.300000000000000000e+01,3.600000000000000000e+01
4.300000000000000000e+01,3.600000000000000000e+01
4.300000000000000000e+01,3.600000000000000000e+01
4.300000000000000000e+01,3.600000000000000000e+01
4.300000000000000000e+01,3.600000000000000000e+01
4.300000000000000000e+01,3.600000000000000000e+01
4.300000000000000000e+01,3.600000000000000000e+01
4.300000000000000000e+01,3.600000000000000000e+01
4.300000000000000000e+01,3.600000000000000000e+01
4.300000000000000000e+01,3.600000000000000000e+01
4.300000000000000000e+01,3.600000000000000000e+01
4.300000000000000000e+01,3.600000000000000000e+01
4.300000000000000000e+01,3.600000000000000000e+01
4.300000000000000000e+01,3.600000000000000000e+01
4.300000000000000000e+01,3.600000000000000000e+01
4.300000000000000000e+01,3.600000000000000000e+01
4.300000000000000000e+01,3.600000000000000000e+01
4.300000000000000000e+01,3.600000000000000000e+01
4.300000000000000000e+01,3.600000000000000000e+01
4.300000000000000000e+01,3.600000000000000000e+01
4.300000000000000000e+01,3.600000000000000000e+01
