makespan,max_load
6.970000000000000000e+02,3.830000000000000000e+02
6.840000000000000000e+02,3.840000000000000000e+02
5.750000000000000000e+02,3.910000000000000000e+02
5.490000000000000000e+02,3.990000000000000000e+02
