makespan,max_load
6.820000000000000000e+02,4.300000000000000000e+02
6.420000000000000000e+02,4.470000000000000000e+02
6.810000000000000000e+02,4.310000000000000000e+02
6.580000000000000000e+02,4.350000000000000000e+02
6.840000000000000000e+02,4.150000000000000000e+02
6.570000000000000000e+02,4.420000000000000000e+02
7.230000000000000000e+02,4.100000000000000000e+02
