makespan,max_load
4.700000000000000000e+01,4.083769633507853825e-01
4.600000000000000000e+01,4.105263157894736836e-01
4.700000000000000000e+01,4.083769633507853825e-01
4.700000000000000000e+01,4.083769633507853825e-01
4.700000000000000000e+01,4.083769633507853825e-01
4.700000000000000000e+01,4.083769633507853825e-01
4.700000000000000000e+01,4.083769633507853825e-01
4.700000000000000000e+01,4.083769633507853825e-01
4.700000000000000000e+01,4.083769633507853825e-01
4.700000000000000000e+01,4.083769633507853825e-01
4.700000000000000000e+01,4.083769633507853825e-01
4.700000000000000000e+01,4.083769633507853825e-01
4.700000000000000000e+01,4.083769633507853825e-01
4.700000000000000000e+01,4.083769633507853825e-01
4.700000000000000000e+01,4.083769633507853825e-01
